Device/package EF3L90CG400B   datasheet:1.3

Number       Name                                         Type               Position   Section
N4           IO_BE5N_3                                    Bidirectional      Left       D
P3           IO_BE6P_3                                    Bidirectional      Left       D
P4           IO_BE6N_3                                    Bidirectional      Left       D
V1           IO_BE7P_3                                    Bidirectional      Left       D
V2           IO_BE7N_3                                    Bidirectional      Left       D
U1           IO_BE8P_3,GCLKIOB_0_3                        Bidirectional      Left       D
U2           IO_BE8N_3,GCLKIOB_1_3                        Bidirectional      Left       D
N5           IO_BE9P_3                                    Bidirectional      Left       D
N6           IO_BE9N_3                                    Bidirectional      Left       D
T3           IO_BE10P_3                                   Bidirectional      Left       D
T4           IO_BE10N_3                                   Bidirectional      Left       D
P5           IO_BE11P_3                                   Bidirectional      Left       D
P6           IO_BE11N_3                                   Bidirectional      Left       D
V3           IO_BE12P_3                                   Bidirectional      Left       D
V4           IO_BE12N_3                                   Bidirectional      Left       D
U4           IO_BE13P_3                                   Bidirectional      Left       D
U5           IO_BE13N_3                                   Bidirectional      Left       D
T5           IO_BE14P_3                                   Bidirectional      Left       D
R5           IO_BE14N_3                                   Bidirectional      Left       D
F5           IO_BE1P_5                                    Bidirectional      Left       D
G5           IO_BE1N_5                                    Bidirectional      Left       D
F6           IO_BE2P_5                                    Bidirectional      Left       D
G6           IO_BE2N_5                                    Bidirectional      Left       D
C4           IO_BE3P_5                                    Bidirectional      Left       D
C3           IO_BE3N_5                                    Bidirectional      Left       D
C2           IO_BE4P_5,GPLL0IP_FDB                        Bidirectional      Left       D
C1           IO_BE4N_5,GPLL0IN_FDB                        Bidirectional      Left       D
E4           IO_BE5P_5                                    Bidirectional      Left       D
E3           IO_BE5N_5                                    Bidirectional      Left       D
D2           IO_BE6P_5,GPLL0IP_REF                        Bidirectional      Left       D
D1           IO_BE6N_5,GPLL0IN_REF                        Bidirectional      Left       D
F4           IO_BE7P_5                                    Bidirectional      Left       D
F3           IO_BE7N_5                                    Bidirectional      Left       D
